Rol,ID,User story,Objetivo,Privacidad,Fuente requerida,Riesgo UX / Safety,Requisito UX
Ciudadano,C-01,"Como ciudadana, quiero reportar una necesidad comunitaria por WhatsApp, para que IAldea la registre y clasifique sin que tenga que llenar un formulario complejo.",Registrar necesidades desde un canal accesible.,"Público, confidencial comunitario o privado sin memoria.",Mensaje ciudadano y contexto proporcionado.,Que el reporte se vuelva acusación o rumor.,"El chatbot debe guiar con preguntas simples y evitar nombres, acusaciones o datos sensibles."
Ciudadano,C-02,"Como ciudadano, quiero elegir si mi reporte será público, confidencial o privado, para saber quién podrá verlo antes de enviarlo.",Dar control sobre privacidad.,Seleccionada por usuario.,Confirmación de privacidad.,Que la persona comparta información sin entender consecuencias.,"Antes de guardar, IAldea debe explicar quién verá la información y qué se guardará."
Ciudadano,C-03,"Como ciudadana, quiero consultar acuerdos públicos, para entender qué se decidió antes sobre un tema comunitario.",Recuperar memoria cívica.,Público.,"Actas, acuerdos, comunicados o registros validados.",Que IAldea invente o interprete sin fuente.,"Toda respuesta debe mostrar fuente, fecha y nivel de certeza."
Ciudadano,C-04,"Como ciudadano, quiero saber si una preocupación ya fue reportada por más personas, para entender si es un patrón comunitario.",Ver tendencias agregadas.,"Agregado, sin identidad individual.",Reportes comunitarios agregados.,Reidentificación de personas o zonas exactas.,Mostrar patrones sólo cuando cumplan el mínimo de contribuyentes y sin datos personales.
Ciudadano,C-05,"Como ciudadana, quiero recibir una respuesta clara cuando IAldea no pueda ayudarme, para saber qué camino seguro puedo seguir.",Manejar casos fuera de alcance.,Según consulta.,No aplica o fuente de derivación.,"Que IAldea dé consejo legal, médico, electoral o de emergencia.",Mostrar refusal con explicación y alternativa segura.
Secretaría,S-01,"Como Secretaría, quiero convertir reportes ciudadanos en registros estructurados, para que la comunidad pueda organizar necesidades por tema, zona general y prioridad.",Ordenar información comunitaria.,Según origen del reporte.,Reporte ciudadano autorizado.,Exponer datos sensibles o cambiar el sentido del reporte.,"Mostrar resumen editable, modo de privacidad y fuente original."
Secretaría,S-02,"Como Secretaría, quiero registrar acuerdos tomados en asamblea o comité, para preservar memoria cívica verificable.",Documentar decisiones humanas.,Público o confidencial según acuerdo.,"Acta, minuta, votación o documento aprobado.",Que parezca que IAldea aprobó el acuerdo.,"El botón debe decir “Registrar acuerdo”, no “Tomar decisión”."
Secretaría,S-03,"Como Secretaría, quiero redactar una minuta con apoyo de IAldea, para ahorrar tiempo sin perder trazabilidad.",Crear documentación comunitaria.,Según contenido.,"Notas, acta, grabación autorizada o resumen de sesión.",Publicar información no validada.,La minuta debe quedar como borrador hasta revisión humana.
Secretaría,S-04,"Como Secretaría, quiero preparar un comunicado basado en acuerdos y fuentes, para informar a la comunidad de forma clara y verificable.",Informar con respaldo.,Público o confidencial.,"Acuerdo, evidencia o validación previa.","Propaganda, manipulación o exposición de datos.","El editor debe mostrar fuentes, estado y aprobación pendiente."
Secretaría,S-05,"Como Secretaría, quiero ver qué documentos están pendientes de validación, para evitar que información errónea entre a la memoria oficial.",Cuidar calidad de fuentes.,Según documento.,"Documento subido, autoría, fecha y rol.",Usar documentos no verificados como verdad.,"Cada documento debe tener estado: subido, pendiente, validado, contradictorio, rechazado o archivado."
Coordinación,CO-01,"Como Coordinación, quiero ver el estado completo del ciclo cívico, para saber qué temas están en entender, proponer, decidir, ejecutar, verificar, informar o aprender.",Coordinar procesos.,Según permisos.,"Registros, propuestas, acuerdos y compromisos.",Centralizar demasiado poder.,"Mostrar vista de proceso, no de control autoritario."
Coordinación,CO-02,"Como Coordinación, quiero enviar una propuesta a revisión de comité, para que no avance sin proceso humano.",Cuidar gobernanza.,Según propuesta.,"Necesidad, patrón, fuente o propuesta previa.",Saltarse asamblea o comité.,El sistema debe pedir confirmar el proceso humano correspondiente.
Coordinación,CO-03,"Como Coordinación, quiero dar seguimiento a compromisos derivados de acuerdos, para saber qué está pendiente sin vigilar personas.",Seguimiento no punitivo.,Público o confidencial.,Acuerdo original y compromiso asociado.,Convertir IAldea en sistema de vigilancia.,"Asignar seguimiento a roles o comités, no exponer personas innecesariamente."
Coordinación,CO-04,"Como Coordinación, quiero revisar qué información está lista para comunicarse, para evitar publicar datos no validados.",Cuidar comunicación.,Según contenido.,"Evidencia validada, acuerdo o fuente oficial.",Propaganda o publicación prematura.,"Mostrar estado: borrador, en revisión, aprobado o publicado."
Coordinación,CO-05,"Como Coordinación, quiero saber cuándo un tema requiere revisión humana o experta, para no usar IAldea fuera de alcance.",Escalar correctamente.,Según tema.,Clasificación de riesgo y fuente relacionada.,"Consejo legal, médico, electoral, emergencia o presupuesto crítico.",IAldea debe bloquear y sugerir derivación humana cuando aplique.
Miembro del comité,MC-01,"Como miembro de comité, quiero revisar necesidades agregadas, para identificar temas recurrentes sin exponer identidades.",Deliberar con contexto.,Agregado y confidencial autorizado.,Reportes agregados.,Reidentificación o exposición individual.,Mostrar patrones sólo si cumplen reglas de agregación.
Miembro del comité,MC-02,"Como miembro de comité, quiero comparar opciones de solución, para discutir alternativas con beneficios, riesgos y datos faltantes.",Evaluar propuestas.,Según propuesta.,"Necesidades, fuentes, contexto histórico.",Que IAldea recomiende una opción final.,El comparador no debe marcar una opción como ganadora.
Miembro del comité,MC-03,"Como miembro de comité, quiero comentar una propuesta, para agregar contexto antes de que avance a decisión.",Mejorar deliberación.,Según propuesta.,Propuesta y fuentes vinculadas.,Convertir opinión individual en decisión.,"Los comentarios deben quedar como aportes, no como validación final."
Miembro del comité,MC-04,"Como miembro de comité, quiero revisar acuerdos previos relacionados, para no duplicar decisiones o contradecir memoria existente.",Usar memoria cívica.,Según acceso.,"Actas, acuerdos, minutas validadas.",Ignorar contradicciones.,IAldea debe mostrar fuentes contradictorias si existen.
Miembro del comité,MC-05,"Como miembro de comité, quiero marcar una propuesta como lista para revisión humana, para pasarla al proceso correspondiente.",Preparar decisión.,Según gobernanza.,"Propuesta, riesgos, fuentes y datos faltantes.",Saltarse proceso comunitario.,"IAldea debe pedir confirmar si va a comité, asamblea, coordinación u otro mecanismo."
Tesorería,T-01,"Como Tesorería, quiero revisar la viabilidad financiera de una propuesta, para indicar si existen recursos o restricciones.",Aportar contexto financiero.,Confidencial o público según caso.,"Presupuesto, acuerdo financiero, registro contable.",Que IAldea comprometa presupuesto.,"Mostrar “viabilidad preliminar”, no “presupuesto aprobado”."
Tesorería,T-02,"Como Tesorería, quiero vincular un compromiso con un acuerdo financiero aprobado, para mantener trazabilidad del uso de recursos.",Conectar recursos con acuerdos.,Según sensibilidad.,"Acta, acuerdo, comprobante o presupuesto aprobado.",Asociar fondos sin autorización humana.,Requerir fuente y proceso antes de guardar como válido.
Tesorería,T-03,"Como Tesorería, quiero subir evidencia financiera autorizada, para respaldar avances o gastos relacionados con compromisos.",Documentar evidencia.,Confidencial o público parcial.,"Recibos, comprobantes, registros.",Exponer datos financieros sensibles.,Permitir ocultar montos o datos sensibles según permisos.
Tesorería,T-04,"Como Tesorería, quiero marcar información financiera como pendiente, validada o no concluyente, para evitar conclusiones falsas.",Validar evidencia financiera.,Según acceso.,Evidencia financiera.,Presentar evidencia incompleta como confirmada.,Mostrar estado de validación y quién revisó.
Tesorería,T-05,"Como Tesorería, quiero recibir un bloqueo si intento aprobar recursos desde IAldea, para recordar que la autorización debe venir del proceso humano.",Prevenir mal uso.,No aplica.,Acuerdo humano necesario.,Comprometer presupuesto desde el sistema.,Mensaje límite: “IAldea no puede autorizar ni comprometer presupuesto.”
Validador,V-01,"Como Validador, quiero revisar evidencia de cumplimiento, para determinar si un compromiso puede considerarse validado, pendiente o no concluyente.",Verificar avances.,Según evidencia.,"Documentos, fotos, actas, reportes o actualizaciones.",Juzgar personas.,"Usar estados neutrales, no lenguaje de culpa."
Validador,V-02,"Como Validador, quiero ver si una evidencia contradice otra fuente, para marcarla como inconsistente sin acusar a nadie.",Detectar contradicciones.,Según acceso.,Evidencias y fuentes previas.,Convertir contradicción en acusación.,Mostrar “fuentes contradictorias” y pedir revisión humana.
Validador,V-03,"Como Validador, quiero marcar evidencia como sensible, para proteger datos personales o información delicada.",Cuidar privacidad.,Confidencial.,Evidencia cargada.,"Exposición de rostros, nombres, ubicaciones o datos sensibles.",Permitir marcar visibilidad y acceso por rol.
Validador,V-04,"Como Validador, quiero solicitar evidencia adicional, para evitar emitir conclusiones sin suficiente respaldo.",Evitar falsas conclusiones.,Según caso.,Evidencia incompleta.,Validar con información insuficiente.,Estado visible: “requiere evidencia adicional”.
Validador,V-05,"Como Validador, quiero dejar registro de mi revisión, para que la comunidad sepa quién validó y con qué evidencia.",Asegurar trazabilidad.,Según visibilidad.,Checklist de validación.,Falta de legitimidad.,"Mostrar quién validó, cuándo, qué revisó y qué estado asignó."
Financiador,F-01,"Como financiador, quiero ver métricas agregadas de avance, para entender el impacto sin acceder a datos sensibles.",Observar impacto.,Público agregado.,Reportes aprobados y métricas agregadas.,Acceso indebido a información comunitaria.,"Dashboard limitado, sin datos personales ni contenido confidencial."
Financiador,F-02,"Como sponsor, quiero consultar comunicados públicos, para conocer avances oficiales del piloto.",Seguimiento externo.,Público.,Comunicados aprobados.,Interpretar borradores como información oficial.,Sólo mostrar contenido publicado y aprobado.
Financiador,F-03,"Como financiador, quiero registrar restricciones de financiamiento como contexto, para que la comunidad las considere sin que yo decida por ella.",Aportar contexto sin capturar decisión.,Público o confidencial según acuerdo.,Condiciones de financiamiento documentadas.,Captura de agenda comunitaria.,"Mostrar restricciones como contexto, no como instrucción."
Financiador,F-04,"Como sponsor, quiero recibir un reporte de impacto, para conocer resultados sin acceder a información privada.",Transparencia externa.,Público agregado.,Impact report aprobado.,Exponer datos sensibles.,"El reporte debe ser agregado, anonimizado y aprobado."
Financiador,F-05,"Como financiador, quiero que IAldea me bloquee si intento priorizar decisiones comunitarias, para respetar la autonomía del proceso.",Evitar captura.,No aplica.,No aplica.,Influencia indebida.,Mensaje límite: “Un financiador no puede condicionar decisiones comunitarias desde IAldea.”
Admin técnico,A-01,"Como admin técnico, quiero configurar roles y permisos, para que cada persona vea sólo la información que le corresponde.",Configurar acceso.,"Técnica, sin contenido privado.",Matriz de roles y policy config.,Acceso excesivo o mal configurado.,Mostrar cambios de permisos con confirmación y trazabilidad.
Admin técnico,A-02,"Como admin técnico, quiero revisar logs técnicos redactados, para diagnosticar errores sin leer contenido privado.",Mantener sistema.,Logs sin contenido sensible.,Logs técnicos.,Vigilancia o acceso a conversaciones privadas.,Los logs deben ocultar contenido privado y datos personales.
Admin técnico,A-03,"Como admin técnico, quiero conectar o desactivar fuentes, para mantener actualizada la memoria del sistema.",Gestionar fuentes.,Según fuente.,Autorización comunitaria y fuente documentada.,Conectar fuentes no autorizadas.,"Requerir confirmación de origen, visibilidad y estado de validación."
Admin técnico,A-04,"Como admin técnico, quiero restaurar una versión anterior de configuración, para corregir errores sin perder trazabilidad.",Control de versiones.,Técnica.,Historial de configuración.,Cambiar reglas sin aprobación.,"Mostrar versión anterior, nueva versión, responsable y autorización."
Admin técnico,A-05,"Como admin técnico, quiero recibir bloqueo si intento acceder a contenido privado, para proteger la confianza comunitaria.",Prevenir acceso indebido.,Privado sin memoria o confidencial.,No aplica.,Violación de privacidad.,Mensaje límite: “No tienes autorización para acceder a contenido privado.”
Operador de Piloto,OP-01,"Como operador de piloto, quiero configurar IAldea junto con la comunidad, para que roles, permisos y privacidad reflejen sus reglas reales.",Implementar con consentimiento.,Según configuración.,"SOUL.md, policy config, matriz de roles.",Imponer reglas externas.,Toda configuración debe quedar como aprobada o pendiente de validación comunitaria.
Operador de Piloto,OP-02,"Como operador de piloto, quiero cargar documentos iniciales con trazabilidad, para que la memoria arranque con fuentes claras.",Crear memoria base.,Según documento.,"Actas, reglamentos, acuerdos, documentos comunitarios.",Subir documentos erróneos o sin legitimidad.,"Cada fuente debe mostrar quién la subió, cuándo, rol, estado y validación."
Operador de Piloto,OP-03,"Como operador de piloto, quiero capacitar a cada rol en lo que puede y no puede hacer, para reducir errores de uso y malentendidos.",Adopción segura.,No aplica.,Matriz de roles y flujos.,Uso indebido por desconocimiento.,Crear guías por rol con ejemplos y límites.
Operador de Piloto,OP-04,"Como operador de piloto, quiero documentar aprendizajes del piloto, para mejorar IAldea sin cambiar reglas automáticamente.",Aprendizaje institucional.,Agregado y anonimizado.,"Feedback, métricas, reportes y observaciones.",Exponer feedback sensible.,Los aprendizajes deben mostrarse agregados y con revisión humana.
Operador de Piloto,OP-05,"Como operador de piloto, quiero dejar un handoff claro, para que la comunidad pueda operar IAldea sin depender del equipo inicial.",Autonomía comunitaria.,Según contenido.,"Playbook, configuración, roles, fuentes.",Dependencia externa.,"Entregar checklist, permisos, fuentes, responsables y próximos pasos."
